Active_In,Cost
Paracetamol 500 mg,0.35
Ibuprofen 400 mg,0.90
Diclofenac 50 mg,0.75
Aceclofenac 100 mg,1.80
Naproxen 250 mg,2.80
Aspirin 75 mg,0.40
Cetirizine 10 mg,0.45
Levocetirizine 5 mg,0.90
Loratadine 10 mg,1.20
Fexofenadine 120 mg,3.80
Montelukast 10 mg,3.20
Pantoprazole 40 mg,1.10
Omeprazole 20 mg,0.80
Rabeprazole 20 mg,2.10
Esomeprazole 40 mg,3.20
Domperidone 10 mg,0.95
Ondansetron 4 mg,2.40
Metoclopramide 10 mg,0.75
Dicyclomine 10 mg,0.80
Hyoscine Butylbromide 10 mg,1.70
Metformin 500 mg,0.60
Metformin 1000 mg,1.10
Glimepiride 1 mg,0.70
Glimepiride 2 mg,1.20
Gliclazide 80 mg,1.30
Pioglitazone 15 mg,1.80
Sitagliptin 100 mg,8.50
Vildagliptin 50 mg,8.20
Teneligliptin 20 mg,5.50
Empagliflozin 10 mg,11.50
Dapagliflozin 10 mg,12.50
Amlodipine 5 mg,0.55
Amlodipine 10 mg,0.85
Telmisartan 40 mg,2.80
Telmisartan 80 mg,4.50
Losartan 50 mg,1.80
Olmesartan 20 mg,3.20
Ramipril 5 mg,1.40
Enalapril 5 mg,0.95
Bisoprolol 5 mg,1.80
Metoprolol 50 mg,1.50
Atenolol 50 mg,0.90
Carvedilol 6.25 mg,2.20
Hydrochlorothiazide 12.5 mg,0.60
Chlorthalidone 12.5 mg,0.80
Furosemide 40 mg,0.75
Spironolactone 25 mg,1.20
Rosuvastatin 10 mg,2.50
Atorvastatin 10 mg,1.80
Simvastatin 20 mg,1.40
Clopidogrel 75 mg,2.10
Ticagrelor 90 mg,12.50
Warfarin 5 mg,1.60
Apixaban 5 mg,16.50
Rivaroxaban 10 mg,15.80
Amoxicillin 500 mg,1.80
Amoxicillin-Clavulanate 625 mg,9.50
Azithromycin 500 mg,7.20
Cefixime 200 mg,8.80
Cefuroxime 500 mg,16.50
Doxycycline 100 mg,2.80
Ciprofloxacin 500 mg,3.50
Levofloxacin 500 mg,8.20
Ofloxacin 200 mg,4.20
Metronidazole 400 mg,1.10
Tinidazole 500 mg,2.50
Nitrofurantoin 100 mg,3.80
Fluconazole 150 mg,7.50
Albendazole 400 mg,4.20
Ivermectin 12 mg,5.50
Acyclovir 400 mg,5.80
Oseltamivir 75 mg,28.00
Prednisolone 10 mg,1.50
Prednisolone 20 mg,2.50
Dexamethasone 4 mg,1.20
Hydrocortisone 10 mg,1.40
Vitamin D3 0 mg,22.00
Calcium Carbonate 500 mg,1.80
Iron Folic Acid 0 mg,0.70
Vitamin B12 1500 mcg,4.80
Multivitamin 0 mg,2.80
Folic Acid 5 mg,0.60
Ascorbic Acid 500 mg,1.10
Zinc 50 mg,1.80
Magnesium Oxide 400 mg,2.40
Allopurinol 100 mg,1.40
Febuxostat 40 mg,8.20
Tamsulosin 0.4 mg,4.20
Finasteride 5 mg,2.80
Silodosin 8 mg,9.50
Sertraline 50 mg,2.80
Escitalopram 10 mg,2.40
Fluoxetine 20 mg,1.80
Paroxetine 25 mg,3.20
Mirtazapine 15 mg,4.80
Clonazepam 0.5 mg,1.20
Alprazolam 0.5 mg,1.00
Diazepam 5 mg,0.80
Quetiapine 25 mg,3.50
Olanzapine 5 mg,2.80
Risperidone 2 mg,2.20
Sodium Valproate 500 mg,3.50
Levetiracetam 500 mg,8.20
Carbamazepine 200 mg,2.10
Gabapentin 300 mg,4.80
Pregabalin 75 mg,7.20
